Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Coupled_PID_v1.csv,
Starttime of export,132660227013120000,Thursday, May 20, 2021,18:18:21.312
Endtime of export,132660227842843821,Thursday, May 20, 2021,18:19:44.284


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


1650,-0.1425214409828186,1650,0.30976289510726929,1650,13.556081771850586,1650,18.573568344116211,1650,1,1650,3
1700,-0.14160588383674622,1700,0.29267251491546631,1700,13.556081771850586,1700,18.573568344116211,1700,1,1700,3
1750,-0.14160588383674622,1750,0.316782146692276,1750,13.556081771850586,1750,18.573568344116211,1750,1,1750,3
1800,-0.14130069315433502,1800,0.34302803874015808,1800,13.556081771850586,1800,18.573568344116211,1800,1,1800,3
1850,-0.13916440308094025,1850,0.33845025300979614,1850,13.413422584533691,1850,18.653783798217773,1850,1,1850,3
1900,-0.11413922905921936,1900,0.3573717474937439,1900,13.458555221557617,1900,18.628406524658203,1900,1,1900,3
1950,-0.092165902256965637,1950,0.37781918048858643,1950,13.513496398925781,1950,18.597513198852539,1950,1,1950,3
2000,-0.064699240028858185,2000,0.383312463760376,2000,13.542617797851563,2000,18.581138610839844,2000,1,2000,3
2050,-0.033265173435211182,2050,0.40986359119415283,2050,13.551824569702148,2050,18.575962066650391,2050,1,2050,3
2100,-0.030213324353098869,2100,0.41413617134094238,2100,13.554737091064453,2100,18.574323654174805,2100,1,2100,3
