0,2.151555061,1.637623191,10.53643703,1.210414767,2.14,1.5
50,2.15033412,1.633045435,10.52681541,1.224312305,2.14,1.5
100,2.149418592,1.627857208,10.51962852,1.152343988,2.14,1.5
150,2.148808241,1.627246857,10.47774506,1.252262354,2.14,1.5
200,2.15033412,1.620838046,10.47914124,1.175109863,2.14,1.5
250,2.148808241,1.619006991,10.58853436,1.344990134,2.14,1.5
300,2.14667201,1.60985136,10.49665737,1.214536548,2.14,1.5
350,2.145756245,1.608935833,10.66062164,1.226766348,2.14,1.5
400,2.142704487,1.601916552,10.6793766,1.138412714,2.14,1.5
450,2.140873432,1.598864675,10.57601547,1.176375508,2.14,1.5
500,2.143620014,1.594897389,10.62387371,1.093726993,2.14,1.5
550,2.14178896,1.592455864,10.6873703,1.218064547,2.14,1.5
600,2.140873432,1.585741758,10.52530193,1.334861755,2.14,1.5
650,2.142704487,1.580553651,10.40345573,1.260618448,2.14,1.5
700,2.144230366,1.579638124,10.49629021,1.249114275,2.14,1.5
750,2.143314838,1.575060368,10.50241089,1.325860023,2.14,1.5
800,2.143314838,1.56926167,10.49410248,1.263944387,2.14,1.5
850,2.142399311,1.566820264,10.57917976,1.208273172,2.14,1.5
900,2.140873432,1.563463211,10.61440086,1.246968031,2.14,1.5
950,2.140263081,1.558580279,10.57491016,1.18674314,2.14,1.5
1000,2.140263081,1.5570544,10.62208843,1.392115951,2.14,1.5
1050,2.139652729,1.548203945,10.53074455,1.386230946,2.14,1.5
1100,2.138737202,1.545457363,10.5068922,1.441887617,2.14,1.5
1150,2.139042377,1.540879607,10.42152405,1.533186078,2.14,1.5
1200,2.140263081,1.536301851,10.3656559,1.441667438,2.14,1.5
1250,2.140568256,1.535996675,10.44826317,1.528980494,2.14,1.5
1300,2.139957905,1.530197978,10.39786339,1.582662463,2.14,1.5
1350,2.139957905,1.526535869,10.35489178,1.698325634,2.14,1.5
1400,2.140263081,1.521347761,10.36420345,1.739777684,2.14,1.5
1450,2.138432026,1.517075181,10.24184799,1.727483749,2.14,1.5
1500,2.140568256,1.516159654,10.29522705,1.854298115,2.14,1.5
1550,2.139652729,1.51005578,10.4021492,1.853434682,2.14,1.5
1600,2.135074854,1.5057832,10.34899426,1.957359552,2.14,1.5
1650,2.13538003,1.501205444,10.28177738,1.889179468,2.14,1.5
1700,2.135074854,1.501205444,10.35438824,2.144901276,2.14,1.5
1750,2.133854151,1.492049932,10.21702766,2.126420498,2.14,1.5
1800,2.133243799,1.491439462,10.225317,2.359316349,2.14,1.5
1850,2.132938623,1.483504772,10.10924721,2.396124363,2.14,1.5
1900,2.132328272,1.481368423,10.10381317,2.570022821,2.14,1.5
1950,2.13171792,1.474959612,9.997667313,2.517661095,2.14,1.5
2000,2.13171792,1.475264788,10.10870075,2.549626589,2.14,1.5
2050,2.129581451,1.47160244,10.09681702,2.645629883,2.14,1.5
2100,2.1289711,1.467940331,10.05382538,2.781221867,2.14,1.5
2150,2.128360748,1.46366775,10.01572895,2.932625055,2.14,1.5
2200,2.127140045,1.458784819,9.893300056,3.063971043,2.14,1.5
2250,2.127750397,1.455427647,9.904859543,3.082427979,2.14,1.5
2300,2.125614166,1.453291416,9.807934761,3.288165808,2.14,1.5
2350,2.127445221,1.448408484,9.800230026,3.43094635,2.14,1.5
2400,2.125003815,1.443525553,9.841394424,3.516004801,2.14,1.5
2450,2.121646881,1.439252973,9.761917114,3.419693947,2.14,1.5
2500,2.121646881,1.441389203,9.958812714,3.708529472,2.14,1.5
2550,2.117679358,1.431318045,9.758703232,3.799368382,2.14,1.5
2600,2.117679358,1.430097342,9.739768028,3.874103069,2.14,1.5
2650,2.116458654,1.427655816,9.660052299,4.103343964,2.14,1.5
2700,2.117069006,1.422467709,9.643565178,4.244721413,2.14,1.5
2750,2.114322424,1.418195009,9.597266197,4.22249794,2.14,1.5
2800,2.113101721,1.418500423,9.64580822,4.549194336,2.14,1.5
2850,2.111881018,1.409649968,9.464185715,4.672849655,2.14,1.5
2900,2.111575603,1.407818794,9.430468559,4.768494129,2.14,1.5
2950,2.110660076,1.405377388,9.352939606,4.92663765,2.14,1.5
3000,2.111270428,1.402325511,9.398552895,5.09126091,2.14,1.5
3050,2.10821867,1.397442579,9.236139297,5.275625229,2.14,1.5
3100,2.109744549,1.394695997,9.197715759,5.414798737,2.14,1.5
3150,2.108523846,1.391644001,9.224179268,5.559152603,2.14,1.5
3200,2.106082201,1.387676597,9.196073532,5.838525772,2.14,1.5
3250,2.104556322,1.38096261,9.091524124,5.847083092,2.14,1.5
3300,2.103030443,1.381572962,9.151415825,6.007037163,2.14,1.5
3350,2.101199389,1.377300262,9.027891159,6.089447021,2.14,1.5
3400,2.10180974,1.377300262,9.149074554,6.330248833,2.14,1.5
3450,2.097842455,1.370586276,9.044879913,6.4891119,2.14,1.5
3500,2.096621513,1.368144751,8.983322144,6.675605774,2.14,1.5
3550,2.095705986,1.364787817,8.974532127,6.870449066,2.14,1.5
3600,2.09326458,1.360515237,8.964766502,7.02387619,2.14,1.5
3650,2.090517998,1.357158184,8.923277855,7.140890121,2.14,1.5
3700,2.088992119,1.355327129,8.945782661,7.336072922,2.14,1.5
3750,2.086550474,1.35105443,8.825022697,7.637605667,2.14,1.5
3800,2.086550474,1.345866323,8.761030197,7.762069702,2.14,1.5
3850,2.084109068,1.344035149,8.763237,7.980942726,2.14,1.5
3900,2.082277775,1.339457273,8.652793884,8.145335197,2.14,1.5
3950,2.081972599,1.337626219,8.73155117,8.030950546,2.14,1.5
