Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Explicit_18regions.csv,
Starttime of export,132661033789190000,Friday, May 21, 2021,16:42:58.919
Endtime of export,132661034946622983,Friday, May 21, 2021,16:44:54.662


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


300,11.890345573425293,300,13.938891410827637,300,4.2500123977661133,300,9.11219596862793,300,10,300,14
310,11.912286758422852,310,13.948864936828613,310,4.2500123977661133,310,9.1115779876708984,310,10,310,14
320,11.896329879760742,320,13.946869850158691,320,4.2500123977661133,320,9.1108980178833,320,10,320,14
330,11.912286758422852,330,13.934902191162109,330,4.2500123977661133,330,9.1102762222290039,330,10,330,14
340,11.912286758422852,340,13.926922798156738,340,4.2500123977661133,340,9.1097564697265625,340,10,340,14
350,11.89433479309082,350,13.910964965820313,350,4.2500123977661133,350,9.109440803527832,350,10,350,14
360,11.912286758422852,360,13.91495418548584,360,4.2500123977661133,360,9.1092071533203125,360,10,360,14
370,11.89433479309082,370,13.930912971496582,370,4.2500123977661133,370,9.1088981628417969,370,10,370,14
380,11.896329879760742,380,13.930912971496582,380,4.2500123977661133,380,9.1085414886474609,380,10,380,14
390,11.912286758422852,390,13.940886497497559,390,4.2500123977661133,390,9.1080656051635742,390,10,390,14
400,11.896329879760742,400,13.946869850158691,400,4.2500123977661133,400,9.1074752807617188,400,10,400,14
410,11.914280891418457,410,13.940886497497559,410,4.2500123977661133,410,9.1068582534790039,410,10,410,14
420,11.906302452087402,420,13.950859069824219,420,4.2500123977661133,420,9.106144905090332,420,10,420,14
430,11.882366180419922,430,13.942880630493164,430,4.2500123977661133,430,9.1054496765136719,430,10,430,14
440,11.906302452087402,440,13.930912971496582,440,4.2500123977661133,440,9.1048583984375,440,10,440,14
450,11.906302452087402,450,13.934902191162109,450,4.2500123977661133,450,9.1042947769165039,450,10,450,14
460,11.922261238098145,460,13.948864936828613,460,4.2500123977661133,460,9.10362720489502,460,10,460,14
470,11.928245544433594,470,13.956843376159668,470,4.2500123977661133,470,9.1028270721435547,470,10,470,14
480,11.898324012756348,480,13.954848289489746,480,4.2500123977661133,480,9.1019754409790039,480,10,480,14
490,11.914280891418457,490,13.956843376159668,490,4.2500123977661133,490,9.1010704040527344,490,10,490,14
500,11.91029167175293,500,13.954848289489746,500,4.2500123977661133,500,9.1001529693603516,500,10,500,14
510,11.89433479309082,510,13.946869850158691,510,4.2500123977661133,510,9.0993022918701172,510,10,510,14
520,11.906302452087402,520,13.938891410827637,520,4.2500123977661133,520,9.0985527038574219,520,10,520,14
530,11.882366180419922,530,13.932908058166504,530,4.2500123977661133,530,9.09792709350586,530,10,530,14
540,11.890345573425293,540,13.924927711486816,540,4.2500123977661133,540,9.0974397659301758,540,10,540,14
550,11.90031909942627,550,13.924927711486816,550,4.2500123977661133,550,9.09703254699707,550,10,550,14
560,11.874387741088867,560,13.920938491821289,560,4.2500123977661133,560,9.09671688079834,560,10,560,14
570,11.892340660095215,570,13.922933578491211,570,4.2500123977661133,570,9.0964336395263672,570,10,570,14
580,11.886355400085449,580,13.938891410827637,580,4.2500123977661133,580,9.0960378646850586,580,10,580,14
590,11.87039852142334,590,13.942880630493164,590,4.2500123977661133,590,9.0955476760864258,590,10,590,14
600,11.896329879760742,600,13.948864936828613,600,4.2500123977661133,600,9.0949382781982422,600,10,600,14
610,11.880372047424316,610,13.950859069824219,610,4.2500123977661133,610,9.0942478179931641,610,10,610,14
620,11.886355400085449,620,13.950859069824219,620,4.2500123977661133,620,9.0935049057006836,620,10,620,14
630,11.904308319091797,630,13.956843376159668,630,4.2500123977661133,630,9.0926733016967773,630,10,630,14
640,11.886355400085449,640,13.966817855834961,640,4.2500123977661133,640,9.0917139053344727,640,10,640,14
650,11.91029167175293,650,13.964823722839356,650,4.2500123977661133,650,9.0906829833984375,650,10,650,14
660,11.898324012756348,660,13.954848289489746,660,4.2500123977661133,660,9.0896987915039062,660,10,660,14
670,11.876382827758789,670,13.940886497497559,670,4.2500123977661133,670,9.08887004852295,670,10,670,14
680,11.896329879760742,680,13.942880630493164,680,4.2500123977661133,680,9.0881099700927734,680,10,680,14
690,11.880372047424316,690,13.946869850158691,690,4.2500123977661133,690,9.0873661041259766,690,10,690,14
700,11.884361267089844,700,13.936897277832031,700,4.2500123977661133,700,9.0867147445678711,700,10,700,14
710,11.882366180419922,710,13.936897277832031,710,4.2500123977661133,710,9.0861196517944336,710,10,710,14
720,11.852446556091309,720,13.934902191162109,720,4.2500123977661133,720,9.0855884552001953,720,10,720,14
730,11.87039852142334,730,13.934902191162109,730,4.2500123977661133,730,9.085087776184082,730,10,730,14
740,11.868403434753418,740,13.940886497497559,740,4.2500123977661133,740,9.0845565795898438,740,10,740,14
750,11.87039852142334,750,13.948864936828613,750,4.2500123977661133,750,9.0839385986328125,750,10,750,14
760,11.898324012756348,760,13.960832595825195,760,4.2500123977661133,760,9.0831584930419922,760,10,760,14
770,11.878376960754395,770,13.954848289489746,770,4.2500123977661133,770,9.08233642578125,770,10,770,14
780,11.892340660095215,780,13.946869850158691,780,4.2500123977661133,780,9.0815515518188477,780,10,780,14
